Year,Country,Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Latvia,Lithuania,Macedonia,Malta,Moldova,Monaco,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Serbia & Montenegro,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
2009,Lithuania,0,0,0,,1,0,0,0,1,0,0,0,1,2,0,0,,0,0,0,0,7,0,7,,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,4
2009,Israel,0,7,0,,0,0,8,8,0,0,0,4,0,5,0,10,,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,0,0,,0,,5,0,0,0,1,0,1,0
2009,France,2,3,6,,0,7,1,6,0,0,0,0,2,0,4,,,3,6,0,6,3,5,5,6,0,0,0,,1,6,1,0,0,0,10,,3,,0,7,3,0,7,0,3,1
2009,Sweden,1,2,0,,0,0,0,0,0,0,0,0,4,6,7,2,,0,0,0,3,0,0,0,0,0,4,0,,0,0,4,0,0,0,0,,0,,0,0,0,,0,0,0,0
2009,Croatia,0,0,0,,5,0,0,12,0,,0,0,0,0,0,0,,0,2,0,1,0,0,0,0,4,0,2,,8,0,0,0,0,0,0,,5,,0,6,0,0,0,0,0,0
2009,Portugal,0,6,0,,0,0,6,1,0,0,0,7,0,3,0,7,,0,0,0,7,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,2,0,8,0,10,0,0,0
2009,Iceland,6,8,5,,0,2,0,0,5,2,5,2,10,8,10,0,,7,4,7,,12,10,8,8,2,12,3,,5,7,12,1,8,10,3,,0,,6,5,0,10,5,2,0,8
2009,Greece,12,0,10,,0,5,5,5,12,7,12,0,0,0,0,0,,6,,4,0,0,0,0,0,0,7,0,,2,1,0,0,0,8,4,,6,,0,4,1,2,2,0,0,5
2009,Armenia,0,0,,,0,1,7,0,6,0,4,12,0,0,1,6,,0,0,0,5,0,8,0,0,1,0,0,,0,5,0,2,4,7,5,,0,,3,0,4,3,0,6,2,0
2009,Russia,0,0,12,,6,8,0,0,0,0,1,8,0,10,0,0,,5,0,0,0,0,7,6,7,0,0,6,,0,0,0,3,0,0,,,0,,0,0,0,0,0,4,8,0
2009,Azerbaijan,4,0,1,,,10,3,3,8,10,8,10,8,7,2,1,,0,8,10,0,0,6,4,5,3,1,10,,6,10,10,6,0,4,7,,4,,4,1,0,8,0,12,10,3
2009,Bosnia and Herzegovina,5,0,0,,2,0,0,,4,12,0,0,0,0,6,0,,2,0,0,2,0,0,0,0,10,0,0,,12,4,0,0,0,0,0,,12,,8,10,0,5,4,8,0,0
2009,Moldova,0,0,2,,7,0,4,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,,0,0,3,5,12,12,1,,0,,0,0,5,0,0,7,7,0
2009,Malta,0,1,0,,0,0,0,0,0,0,0,0,0,0,3,0,,4,0,0,0,5,0,1,1,0,,0,,0,0,0,0,0,3,0,,7,,0,0,0,0,0,0,0,6
2009,Estonia,0,0,0,,4,4,0,0,0,6,3,0,5,,12,0,,1,5,6,10,6,0,10,10,0,0,7,,0,0,0,8,0,1,8,,0,,12,0,0,7,0,0,4,0
2009,Denmark,0,5,0,,0,0,0,0,0,0,6,0,,0,0,5,,0,0,3,4,4,0,3,2,0,6,5,,0,0,8,7,0,2,0,,1,,0,8,0,0,0,0,5,0
2009,Germany,3,0,0,,0,0,2,2,0,0,0,0,7,0,0,3,,,0,0,0,1,0,0,0,0,0,0,,0,2,6,0,1,0,0,,0,,0,0,0,0,0,1,0,7
2009,Turkey,10,0,4,,12,0,12,7,10,1,0,1,6,0,5,12,,10,3,5,0,0,3,0,0,12,5,0,,3,8,7,0,3,6,0,,0,,0,0,2,6,12,,0,12
2009,Albania,,0,0,,0,0,0,0,0,5,0,0,0,1,0,0,,0,7,2,0,0,0,0,0,7,0,0,,7,0,0,0,0,0,0,,0,,0,2,0,1,6,10,0,0
2009,Norway,7,10,8,,8,12,10,10,2,8,10,3,12,12,8,8,,12,10,12,12,8,12,12,12,8,8,8,,10,12,,12,5,5,12,,10,,10,12,12,12,8,3,12,10
2009,Ukraine,0,0,3,,10,6,0,0,0,0,0,5,0,0,0,0,,0,0,8,0,0,2,0,4,0,2,4,,0,0,5,10,6,0,2,,0,,1,0,6,0,0,0,,2
2009,Romania,0,0,0,,3,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,2,0,0,0,5,0,12,,0,0,0,0,2,,0,,2,,0,0,7,0,0,5,0,0
2009,United Kingdom,8,4,7,,0,3,0,4,7,4,7,6,3,0,0,4,,8,12,1,0,10,4,2,3,6,10,1,,0,3,2,4,10,0,6,,8,,7,3,10,0,0,0,6,
